Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
ARI,44,29.2,4.23,53,1979,1768,224,409,93,8,49,214,20,5,159,421,0.231,0.303,0.376,0.679,81,665,32,31,1,20,5,347
ATL,46,28.2,5.83,52,2022,1796,303,485,113,3,92,296,20,4,201,493,0.27,0.348,0.49,0.838,116,880,35,17,1,7,11,370
BAL,45,26.4,4.55,53,1972,1777,241,451,87,5,69,231,17,13,147,458,0.254,0.319,0.425,0.744,101,755,27,26,14,8,5,348
BOS,46,27.1,4.53,53,2011,1829,240,477,104,6,69,230,29,7,155,487,0.261,0.324,0.437,0.761,103,800,45,18,3,6,6,367
CHC,44,27.8,4.46,52,1917,1661,232,376,73,8,63,220,16,8,198,497,0.226,0.322,0.394,0.716,93,654,38,43,1,13,9,358
CHW,48,27.6,5.25,52,1970,1781,273,479,86,3,88,262,18,6,150,480,0.269,0.332,0.469,0.8,118,835,39,23,1,12,1,349
CIN,43,29.1,3.91,53,1859,1614,207,343,65,3,79,201,25,9,209,462,0.213,0.312,0.403,0.716,87,651,42,28,0,6,3,324
CLE,39,28,4.02,52,1956,1706,209,388,78,5,49,196,24,8,208,454,0.227,0.317,0.365,0.682,84,623,36,21,6,13,3,358
COL,39,28.9,4.61,51,1922,1748,235,446,66,14,59,226,33,7,141,454,0.255,0.311,0.41,0.721,80,717,35,7,7,17,12,328
DET,44,27.7,4.33,51,1815,1650,221,402,71,12,57,215,15,5,131,496,0.244,0.304,0.405,0.709,91,668,35,18,1,13,1,292
HOU,43,29.1,4.73,52,1916,1717,246,410,94,10,57,237,18,11,162,382,0.239,0.31,0.405,0.715,92,695,35,19,5,10,5,318
KCR,48,27.8,4.08,52,1919,1732,212,421,84,4,58,201,41,17,152,467,0.243,0.309,0.397,0.706,91,687,25,17,6,8,2,348
LAA,44,28.6,4.98,53,2047,1783,264,442,89,6,76,256,19,7,219,425,0.248,0.335,0.432,0.768,109,771,41,24,4,17,8,380
LAD,38,28,5.83,53,2057,1814,309,465,87,6,100,290,27,8,202,423,0.256,0.338,0.476,0.814,119,864,41,26,3,11,7,346
MIA,61,28.9,4.61,51,1842,1643,235,408,76,5,53,221,45,14,166,461,0.248,0.324,0.397,0.722,96,653,32,22,3,8,5,330
MIL,43,28.5,4.39,51,1885,1649,224,375,74,5,66,215,15,10,192,495,0.227,0.319,0.398,0.717,91,657,43,33,0,9,8,332
MIN,42,28.8,4.46,54,1941,1733,241,419,66,2,84,232,11,6,170,465,0.242,0.316,0.428,0.744,103,741,35,24,2,12,8,334
NYM,46,27.7,5.02,52,2005,1771,261,492,95,7,73,253,18,8,177,431,0.278,0.355,0.463,0.818,124,820,47,43,1,13,8,397
NYY,42,28.5,5.38,52,1906,1653,280,413,74,6,90,269,21,7,213,419,0.25,0.343,0.465,0.808,121,769,36,27,0,11,5,346
OAK,37,28,4.81,52,1919,1660,250,377,76,10,64,242,23,3,209,459,0.227,0.324,0.401,0.725,104,665,35,36,2,12,3,339
PHI,45,28.6,5.29,52,1927,1683,275,435,81,9,74,263,33,5,201,407,0.258,0.345,0.449,0.794,111,756,32,26,7,10,13,361
PIT,47,27.1,3.63,52,1857,1677,189,365,63,6,46,181,15,9,149,450,0.218,0.283,0.345,0.628,70,578,29,10,6,13,3,306
SDP,46,26.5,5.53,53,1976,1748,293,459,91,11,87,282,46,12,178,416,0.263,0.338,0.477,0.815,122,833,33,27,12,10,5,321
SEA,49,26.7,4.23,52,1898,1672,220,381,77,5,54,212,46,15,186,458,0.228,0.313,0.377,0.69,94,630,31,27,2,11,4,331
SFG,45,29.9,4.92,51,1916,1723,251,455,91,13,65,244,16,7,155,422,0.264,0.331,0.445,0.776,112,767,45,23,2,12,6,337
STL,44,28.8,4.31,49,1702,1475,211,349,61,4,46,204,14,9,176,387,0.237,0.328,0.377,0.705,92,556,34,32,3,15,3,303
TBR,43,27.2,4.92,53,2010,1750,261,420,98,11,72,248,41,6,223,521,0.24,0.332,0.432,0.764,112,756,33,23,0,13,7,373
TEX,48,27.8,3.58,52,1847,1664,186,354,70,8,47,167,42,12,146,470,0.213,0.282,0.349,0.631,71,581,32,20,1,16,3,299
TOR,49,25.9,4.73,52,1959,1746,246,437,88,2,75,237,28,5,183,433,0.25,0.323,0.432,0.754,106,754,35,9,8,12,4,345
WSN,42,28.8,4.6,50,1872,1665,230,433,88,11,53,220,25,11,155,378,0.26,0.33,0.422,0.752,98,702,41,28,5,19,14,341
LgAvg,42,28,4.66,52,1927,1710,242,419,82,7,67,232,25,8,177,449,0.245,0.323,0.419,0.741,100,716,36,24,4,12,6,341
