Franchise,Lg,From,To,Yrs,GP,W,L,T,OL,PTS,PTS%,Yrs Plyf,Div,Conf,Champ,St Cup
Anaheim Ducks,NHL,1993,2020,26,2055,973,804,107,171,2224,0.541,14,6,2,1,1
Arizona Coyotes,NHL,1979,2020,40,3178,1311,1442,266,159,3047,0.479,20,1,0,0,0
Boston Bruins,NHL,1924,2020,95,6570,3208,2387,791,184,7391,0.562,73,29,5,6,6
Buffalo Sabres,NHL,1970,2020,49,3889,1790,1530,409,160,4149,0.533,29,6,1,0,0
Calgary Flames,NHL,1972,2020,47,3734,1739,1469,379,147,4004,0.536,30,7,3,1,1
Carolina Hurricanes,NHL,1979,2020,40,3176,1325,1422,263,166,3079,0.485,15,4,2,1,1
Chicago Blackhawks,NHL,1926,2020,93,6504,2788,2736,814,166,6556,0.504,63,17,4,6,6
Colorado Avalanche,NHL,1979,2020,40,3178,1465,1314,261,138,3329,0.524,25,11,2,2,2
Columbus Blue Jackets,NHL,2000,2020,19,1512,660,672,33,147,1500,0.496,6,0,0,0,0
Dallas Stars,NHL,1967,2020,52,4115,1819,1689,459,148,4245,0.516,33,10,4,1,1
Detroit Red Wings,NHL,1926,2020,93,6505,2970,2547,815,173,6928,0.533,64,29,6,11,11
Edmonton Oilers,NHL,1979,2020,40,3179,1434,1318,262,165,3295,0.518,22,6,7,5,5
Florida Panthers,NHL,1993,2020,26,2053,852,856,142,203,2049,0.499,6,2,1,0,0
Los Angeles Kings,NHL,1967,2020,52,4116,1733,1800,424,159,4049,0.492,30,1,3,2,2
Minnesota Wild,NHL,2000,2020,19,1511,724,583,55,149,1652,0.547,10,1,0,0,0
Montreal Canadiens,NHL,1917,2020,102,6731,3449,2281,837,164,7899,0.587,84,37,3,25,23
Nashville Predators,NHL,1998,2020,21,1675,821,633,60,161,1863,0.556,13,2,1,0,0
New Jersey Devils,NHL,1974,2020,45,3577,1515,1572,328,162,3520,0.492,23,9,5,3,3
New York Islanders,NHL,1972,2020,47,3732,1656,1570,347,159,3818,0.512,26,6,3,4,4
New York Rangers,NHL,1926,2020,93,6504,2856,2693,808,147,6667,0.513,60,8,2,4,4
Ottawa Senators,NHL,1992,2020,27,2139,948,912,115,164,2175,0.508,16,4,1,0,0
Philadelphia Flyers,NHL,1967,2020,52,4115,2054,1429,457,175,4740,0.576,40,16,4,2,2
Pittsburgh Penguins,NHL,1967,2020,52,4115,1866,1718,383,148,4263,0.518,35,9,6,5,5
San Jose Sharks,NHL,1991,2020,28,2218,1049,892,121,156,2375,0.535,21,6,1,0,0
St. Louis Blues,NHL,1967,2020,52,4117,1902,1625,432,158,4394,0.534,43,10,1,1,1
Tampa Bay Lightning,NHL,1992,2020,27,2138,949,930,112,147,2157,0.504,12,4,3,2,2
Toronto Maple Leafs,NHL,1917,2020,102,6730,2965,2815,783,167,6880,0.511,69,8,0,13,13
Vancouver Canucks,NHL,1970,2020,49,3889,1626,1717,391,155,3798,0.488,28,10,3,0,0
Vegas Golden Knights,NHL,2017,2020,3,235,133,80,,22,288,0.613,3,2,1,,
Washington Capitals,NHL,1974,2020,45,3577,1664,1452,303,158,3789,0.53,30,13,2,1,1
Winnipeg Jets,NHL,1999,2020,20,1595,694,706,45,150,1583,0.496,5,1,0,0,0
